Timestamp,Building_ID,Energy_Usage (kWh),Temperature (°C),Humidity (%),Building_Type,Occupancy_Level,Hour,DayOfWeek,IsWeekend,Month,IsWorkingHour,Energy_Simulated,Hour_sin,Hour_cos,Day_sin,Day_cos,Building_ID_enc,Occupancy_enc,BuildingType_enc
2025-01-01 00:00:00,B001,204.33428306022466,-7.2,79.36,Industrial,Low,0,2,0,1,0,204.33428306022466,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,1,2
2025-01-01 01:00:00,B001,162.34747578067712,12.62,80.37,Industrial,High,1,2,0,1,0,162.34747578067712,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0,0,2
2025-01-01 02:00:00,B001,215.61377076201384,-1.33,37.74,Industrial,High,2,2,0,1,0,215.61377076201384,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,2
2025-01-01 03:00:00,B001,238.26486837562243,0.24,39.97,Industrial,High,3,2,0,1,0,238.26486837562243,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0,0,2
2025-01-01 04:00:00,B001,199.07794865691082,5.44,89.29,Industrial,Medium,4,2,0,1,0,199.07794865691082,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,2,2
2025-01-01 05:00:00,B001,229.23429391257912,-7.64,57.01,Industrial,Medium,5,2,0,1,0,229.23429391257912,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0,2,2
2025-01-01 06:00:00,B001,297.69092297681453,34.27,33.01,Industrial,Low,6,2,0,1,0,297.69092297681453,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,1,2
2025-01-01 07:00:00,B001,228.6257276346209,2.68,41.06,Industrial,Low,7,2,0,1,0,228.6257276346209,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0,1,2
2025-01-01 08:00:00,B001,271.01152843267846,-7.88,31.17,Industrial,Medium,8,2,0,1,1,271.01152843267846,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0,2,2
2025-01-01 09:00:00,B001,239.1354721191812,17.27,55.7,Industrial,High,9,2,0,1,1,239.1354721191812,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,0,0,2
2025-01-01 10:00:00,B001,210.73164614375077,15.29,36.72,Industrial,Low,10,2,0,1,1,210.73164614375077,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,1,2
2025-01-01 11:00:00,B001,231.11816673269573,25.64,89.2,Industrial,Medium,11,2,0,1,1,231.11816673269573,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,0,2,2
2025-01-01 12:00:00,B001,262.97257876465403,30.9,77.11,Industrial,High,12,2,0,1,1,262.97257876465403,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0,0,2
2025-01-01 13:00:00,B001,213.8349666360766,31.71,87.72,Industrial,High,13,2,0,1,1,213.8349666360766,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0,0,2
2025-01-01 14:00:00,B001,146.24164334973935,14.63,83.43,Industrial,Low,14,2,0,1,1,146.24164334973935,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,1,2
2025-01-01 15:00:00,B001,160.46997816771866,16.09,46.95,Industrial,Low,15,2,0,1,1,160.46997816771866,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0,1,2
2025-01-01 16:00:00,B001,155.28902810860066,21.91,65.26,Industrial,Medium,16,2,0,1,1,155.28902810860066,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,2,2
2025-01-01 17:00:00,B001,210.20791360034275,-6.28,39.27,Industrial,High,17,2,0,1,1,210.20791360034275,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0,0,2
2025-01-01 18:00:00,B001,186.07951848957578,-7.12,34.46,Industrial,Low,18,2,0,1,1,186.07951848957578,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0,1,2
2025-01-01 19:00:00,B001,90.61689292173143,11.25,72.77,Industrial,Medium,19,2,0,1,0,90.61689292173143,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,0,2,2
2025-01-01 20:00:00,B001,144.67195922705355,15.69,84.58,Industrial,Low,20,2,0,1,0,144.67195922705355,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,1,2
